date time;hits
2022-08-29T11:56:01;14881
2022-08-29T15:56:16;14882
2022-08-29T17:55:54;14883
2022-08-29T23:56:01;14884
2022-08-30T11:56:20;14888
2022-08-30T15:57:13;14889
2022-08-30T17:56:06;14891
2022-08-30T23:56:06;14893
2022-08-31T11:56:07;14894
2022-08-31T15:56:38;14895
2022-08-31T17:56:20;14896
2022-08-31T23:55:56;14897
2022-09-01T23:56:11;14904
2022-09-02T11:56:07;14905
2022-09-02T15:55:43;14910
2022-09-02T17:55:57;14911
2022-09-02T23:55:53;14916
2022-09-03T11:56:27;14917
2022-09-03T15:55:48;14918
2022-09-03T17:55:47;14919
2022-09-03T23:56:23;14931
2022-09-04T11:56:00;14936
2022-09-04T15:56:33;14940
2022-09-04T17:55:41;14941
2022-09-04T23:55:54;14944
2022-09-05T11:55:55;14952
2022-09-05T15:55:41;14954
2022-09-05T17:55:39;14955
2022-09-05T23:55:47;14961
2022-09-06T11:55:58;14965
2022-09-06T15:55:51;14976
2022-09-06T17:55:38;14977
2022-09-06T23:55:51;14979
2022-09-07T11:56:02;14982
2022-09-07T15:56:22;14984
2022-09-07T17:55:42;14990
2022-09-07T23:55:50;14992
2022-09-08T11:55:53;14993
2022-09-08T15:56:28;15008
2022-09-08T17:55:41;15010
2022-09-08T23:55:48;15014
2022-09-09T11:56:02;15015
2022-09-09T15:56:21;15016
2022-09-09T17:55:51;15017
2022-09-09T23:55:47;15018
2022-09-10T11:56:00;15020
2022-09-10T15:56:22;15021
2022-09-10T17:55:37;15022
2022-09-10T23:55:59;15024
2022-09-11T11:56:02;15025
2022-09-11T15:56:24;15026
2022-09-11T17:55:56;15027
2022-09-11T23:55:52;15028
2022-09-12T11:56:05;15037
2022-09-12T15:56:18;15053
2022-09-12T17:55:52;15066
2022-09-12T22:18:26;15106
2022-09-12T23:55:55;15120
2022-09-13T11:52:03;15205
2022-09-13T15:56:21;15232
2022-09-13T17:47:06;15244
2022-09-13T23:47:12;15253
2022-09-14T13:12:41;15282
2022-09-14T13:15:26;15284
2022-09-14T13:16:51;15285
2022-09-14T13:19:55;15286
2022-09-14T13:21:44;15288
2022-09-14T13:27:46;15290
2022-09-14T14:57:33;15298
2022-09-14T15:35:12;15299
2022-09-14T17:54:37;15301
2022-09-14T23:47:10;15302
2022-09-15T11:47:13;15304
2022-09-15T15:55:52;15305
2022-09-15T17:47:07;15306
2022-09-15T23:47:13;15308
2022-09-16T11:47:07;15314
2022-09-16T15:54:38;15317
2022-09-16T17:47:10;15318
2022-09-16T23:47:04;15320
2022-09-17T11:47:11;15321
2022-09-17T15:55:04;15322
2022-09-17T17:47:18;15323
2022-09-17T23:47:21;15324
2022-09-18T11:47:15;15325
2022-09-18T15:54:49;15326
2022-09-18T17:47:15;15327
2022-09-18T23:47:15;15328
